mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17518,Viktor Petrovich Leonov,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
17519,Leonid Anatolievich Levin,Andrei Nikolayevich Kolmogorov,Some Theorems on the Algorithmic Approach to Probability Theory and Information Theory (unsuccessful defence for political reasons),Lomonosov Moscow State University,Russia,1972,3,4
17520,Anatolij Ivanovich Mal'tsev,Andrei Nikolayevich Kolmogorov,Torsion Free Abelian Groups of Finite Rank,Lomonosov Moscow State University,Russia,1937,6,135
17522,A. V. Martynov,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
17523,R. F. Matveev,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
17524,Yurii Tikhonovich Medvedev,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State University,Russia,1955,0,0
17525,Lev Dmitrievich Meshalkin,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
17526,Vladimir Semenovich Mikhalevich,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,2,6
17527,Mikhail Dimitrievich Millionshchikov,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
17528,Andrey Sergeevich Monin,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,-1,2
17529,Sergey Mikhailovich Nikol'skii,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State University,Russia,1935,10,124
17530,Aleksandr Mikhaylovich Obukhov,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State University,Russia,1947,-1,2
17531,Yurii Semenovich Ochan,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,-1,-1
17532,Yurii Petrovich Ofman,Andrei Nikolayevich Kolmogorov,,Lomonosov Moscow State,Russia,University,0,0
